id,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews
ChIJSe9TaWwS04kRJ7H9G8_t1uw,McDonalds,Fast food restaurant,"453 William St, Buffalo, NY 14204",(716) 847-2619,+1 716-847-2619,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/453-WILLIAMS-ST/21463.html?cid=RF:YXT:GMB::Clicks,"42.8847113,-78.85433139999999",3.2,1275
ChIJU0MXeiZt04kRCyJkHOA1gUM,McDonalds,Fast food restaurant,"2058 Elmwood Ave, Buffalo, NY 14216",(716) 873-2729,+1 716-873-2729,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/2058-ELMWOOD-AVE/18869.html?cid=RF:YXT:GMB::Clicks,"42.953118599999996,-78.87889489999999",2.9,1888
ChIJxYN9gK0T04kRd413kPuu4W8,McDonalds,Fast food restaurant,"390 Niagara St, Buffalo, NY 14201",(716) 847-0070,+1 716-847-0070,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/390-NIAGARA-ST/4836.html?cid=RF:YXT:GMB::Clicks,"42.8944179,-78.8864359",3.2,2148
ChIJ6ai-RggO04kRwZlcKxtXDa0,McDonalds,Fast food restaurant,"1028 McKinley Pkwy, Buffalo, NY 14220",(716) 821-1211,+1 716-821-1211,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/1028-MC-KINLEY-PKY/3849.html?cid=RF:YXT:GMB::Clicks,"42.858,-78.8250915",3,1892
ChIJHT6hjvES04kR1mkwWVuTGEU,McDonalds,Fast food restaurant,"1338 Main St, Buffalo, NY 14209",(716) 270-0150,+1 716-270-0150,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/1338-MAIN-ST/816.html?cid=RF:YXT:GMB::Clicks,"42.9101089,-78.8669443",3,1970
ChIJWzWcl0oT04kReHnp6vEiUJM,McDonalds,Fast food restaurant,"2156 Niagara St, Buffalo, NY 14207",(716) 332-0705,+1 716-332-0705,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/2156-NIAGARA-ST/3782.html?cid=RF:YXT:GMB::Clicks,"42.943114800000004,-78.90702259999999",3.3,1634
ChIJt8IdQsKjtFIRxrqJzqfMPXI,McDonalds,Fast food restaurant,"303 7th St NE, Buffalo, MN 55313",(763) 682-5167,+1 763-682-5167,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/MN/BUFFALO/303-7TH-ST-NE/5541.html?cid=RF:YXT:GMB::Clicks,"45.178923,-93.87149509999999",3.4,1373
ChIJZSHgjVwN04kRq6NB-3LCG7c,McDonalds,Fast food restaurant,"262 Grider St, Buffalo, NY 14215",(716) 893-5521,+1 716-893-5521,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/BUFFALO/262-GRIDER-ST/4039.html?cid=RF:YXT:GMB::Clicks,"42.9216847,-78.82968570000001",3,1667
ChIJ7yD6R8sN04kRSMFMyxq5tkM,McDonalds,Fast food restaurant,"2256 Clinton St, Cheektowaga, NY 14206",(716) 332-2198,+1 716-332-2198,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/CHEEKTOWAGA/2256-CLINTON-ST/1274.html?cid=RF:YXT:GMB::Clicks,"42.871942399999995,-78.7937012",3.2,1467
ChIJE7sWQ5Ry04kRlUtlPEmFIeA,McDonalds,Fast food restaurant,"3540 Main St, Amherst, NY 14226",(716) 508-2021,+1 716-508-2021,www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/location/NY/AMHERST/3540-MAIN-ST/23299.html?cid=RF:YXT:GMB::Clicks,"42.9586513,-78.8169805",3.3,1803
