id,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews
ChIJv_xvbIcoQg0Ra-5LR2Mpvys,McDonalds,Restaurante de comida rápida,"C. de la Montera, 47, Centro, 28013 Madrid",915 31 37 11,+34 915 31 37 11,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.4199,-3.70164",3.9,13184
ChIJv1KYamkpQg0RhbSqhk2U9BA,McDonalds,Restaurante de comida rápida,"P.º de la Castellana, 261, Fuencarral-El Pardo, 28046 Madrid",913 58 13 94,+34 913 58 13 94,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.480199999999996,-3.6871400000000003",3.6,3675
ChIJ7-cJXX4oQg0RowzVU_OeRdc,McDonalds,Restaurante de comida rápida,"C. de Esparteros, 1, Centro, 28012 Madrid",626 48 90 52,+34 626 48 90 52,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.4165,-3.70483",3.8,9603
ChIJ_-sKNoEoQg0RV8gYChLK_8o,McDonalds,Restaurante de comida rápida,"C. Alcalá, 18, Centro, 28014 Madrid",919 55 27 63,+34 919 55 27 63,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.417747,-3.6991950000000005",3.9,3330
ChIJfReKOEQvQg0R8yNCUaEoalM,McDonalds,Restaurante de comida rápida,"Zona Tierra | Terminal T-4 Aeropuerto Adolfo Suarez |, Barajas, 28042 Madrid",913 33 84 60,+34 913 33 84 60,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.491377,-3.592601",3.1,258
ChIJEe9IknwoQg0R0_UPAHHwrME,McDonalds,Restaurante de comida rápida,"Gran Vía, 55, Centro, 28013 Madrid",917 23 62 44,+34 917 23 62 44,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.421735,-3.708315",3.8,7056
ChIJjZSuMQ8uQg0RF-RUdzgNmAc,McDonalds,Restaurante de comida rápida,"Zona Aire, Crta. Nacional A2, Km. 12, . Aeropuerto Madrid-Barajas, Terminal 4 Local T1, 10, 28042 Madrid",913 33 80 18,+34 913 33 80 18,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.491331900000006,-3.5918229999999998",2.9,28
ChIJ3_nQaF0nQg0ROjfot5sxBVQ,McDonalds,Restaurante de comida rápida,"Pl. de la Beata María Ana de Jesús, 14, Arganzuela, 28045 Madrid",,,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.39467,-3.6953098",3.3,426
ChIJDXVA0_EnQg0RtJWqPlO_nTA,McDonalds,Restaurante de comida rápida,"C. de Toledo, 63, Centro, 28005 Madrid",910 58 56 48,+34 910 58 56 48,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.411167,-3.707804",3.5,1778
ChIJ0TJ5BpwpQg0RXGyHu0_0ku0,McDonalds,Restaurante de comida rápida,"Av. de Monforte de Lemos, 36, 32, Fuencarral-El Pardo, 28029 Madrid",917 30 02 34,+34 917 30 02 34,mcdonalds-mcdelivery.es,https://mcdonalds-mcdelivery.es/,"40.4798,-3.70705",3.7,3290
