id,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews
ChIJq--xwLjAyRIRA_uksKdOVHI,McDonalds,Restauration rapide,"43 Quai des Belges, 13001 Marseille",04 91 57 01 99,+33 4 91 57 01 99,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-vieux-port,"43.2940657,5.3746735",2.7,2134
ChIJvfnehGa_yRIReBR4TF3OJXU,McDonalds,Restauration rapide,"75 Bd de la Blancarde, 13004 Marseille",04 91 34 94 27,+33 4 91 34 94 27,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-blancarde,"43.3031728,5.4012763999999995",2.9,2221
ChIJ51qNBVy_yRIR6Mjp4HvyCxw,McDonalds,Restauration rapide,"13 Rue Madon, 13005 Marseille",04 91 98 52 50,+33 4 91 98 52 50,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-chave,"43.2954947,5.4000397",3.1,2733
ChIJQ6eK1XbAyRIRQkMVqd0uRfk,McDonalds,Restauration rapide,"214 Chem. de Sainte-Marthe, 13014 Marseille",04 91 58 26 93,+33 4 91 58 26 93,,,"43.331077199999996,5.3881789",3,626
ChIJmdAPZMfAyRIRB7DNuy29Bks,McDonalds,Restauration rapide,"7 Quai de Rive Neuve, 13001 Marseille",04 91 72 99 26,+33 4 91 72 99 26,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-quai-rive-neuve,"43.293502,5.3726496",3.1,3084
ChIJpUdHJK-4yRIRNotRNDPoAtI,McDonalds,Restauration rapide,"Angle, 32, Boulevard Schloesing, Rue Raymond Teisseire, 13009 Marseille",04 91 75 07 51,+33 4 91 75 07 51,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-sainte-marguerite,"43.272185300000004,5.4006096999999995",3.2,3360
ChIJizrh2bvAyRIRoBhhcvqovWk,McDonalds,Restauration rapide,"Pl. Félix Baret, 13006 Marseille",09 80 52 08 64,+33 9 80 52 08 64,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-felix-baret,"43.2917821,5.3796817",3.1,1350
ChIJ1X69UlTByRIRlVtWaB9uMhI,McDonalds,Restauration rapide,"80 Av. du Prado, 13006 Marseille",04 91 92 65 91,+33 4 91 92 65 91,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-prado,"43.282291199999996,5.3851816999999995",3.3,241
ChIJaYdXWOnAyRIRhOcRD2uJGqw,McDonalds,Restauration rapide,"114 Rue de la République, 13002 Marseille",04 91 91 37 60,+33 4 91 91 37 60,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-republique-joliette,"43.3044684,5.3678916",3.5,1922
ChIJM13vqL3AyRIRhjUBQMrCOOQ,McDonalds,Restauration rapide,"79 La Canebière, 13001 Marseille",04 91 44 40 36,+33 4 91 44 40 36,www.restaurants.mcdonalds.fr,http://www.restaurants.mcdonalds.fr/mcdonalds-marseille-canebiere,"43.2976381,5.3807576",2.8,1143
